Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Dudu,NASNOTA,"NASNOTA, Dudu, Rajasthan, India",26.6832448,75.2335695,338,Older Alluvium,7.23,6.28
Phagi,Sameliya,"Sameliya, Phagi, Rajasthan, India",26.464626,75.6120795,338.39,Mica Schist,2.9,6.2
Chaksu,Sheodaspura,"Sheodaspura, Chaksu, Rajasthan, India",26.710025,75.8844,338.62,Older Alluvium,16.6,19.2
Phagi,Madanpura,"Madanpura, Phagi, Rajasthan, India",26.5336207,75.5626654,340.4,Mica Schist,1.2,3.5
Bassi,Padasoli,"Padasoli, Bassi, Rajasthan, India",26.9431137,76.1830594,341,Older Alluvium,31.95,34
Bassi,Maharajpura,"Maharajpura, Bassi, Rajasthan, India",26.8419275,76.0521171,341.5,Yr. Alluvium,56.95,56.95
Bassi,Gangarampur,"Gangarampur, Bassi, Rajasthan, India",26.8419275,76.0521171,341.93,Yr. Alluvium,55.65,56.55
Dudu,Maujmabad,"Maujmabad, Dudu, Rajasthan, India",26.6832448,75.2335695,342.82,Gneiss,4.2,6.6
Dudu,Dhamana,"Dhamana, Dudu, Rajasthan, India",26.6832448,75.2335695,342.91,Gneiss,5.2,11.5
Sanganer,Mahal,"Mahal, Sanganer, Rajasthan, India",26.8083444,75.8610208,343,Mica Schist,55.72,58.21
Dudu,Mamana,"Mamana, Dudu, Rajasthan, India",26.8085233,75.0727956,343,Gneiss,2.1,3.7
Dudu,MehlaPz,"MehlaPz, Dudu, Rajasthan, India",26.6832448,75.2335695,343,Older Alluvium,22.25,22.45
Jamwaramgarh,Papar,"Papar, Jamwaramgarh, Rajasthan, India",26.9590017,76.0217831,343,Quartzite Schist,45.16,47.36
Bassi,Banskhoh,"Banskhoh, Bassi, Rajasthan, India",26.8243735,76.1464903,343.43,Yr. Alluvium,60.4,59.4
Sanganer,Bhamoriya,"Bhamoriya, Sanganer, Rajasthan, India",26.8788962,75.8720974,344,Mica Schist,50.53,50.6
Jhotwara,Jaisingpur Khor,"Jaisingpur Khor, Jhotwara, Rajasthan, India",26.9523378,75.8699419,344,"Younger
Alluvium",44.8,41.7
Kotputli,Rajnota,"Rajnota, Kotputli, Rajasthan, India",27.5681517,76.1522879,344,Quartzite Schist,38.6,39.2
Sanganer,Unti,"Unti, Sanganer, Rajasthan, India",23.6495572,74.1739057,344,Mica Schist,32.8,33.7
Chaksu,"Roopaheri Khurd /
Bapugaon","Roopaheri Khurd /Bapugaon, Chaksu, Rajasthan, India",26.6034639,75.9435991,345.59,Older Alluvium,10.11,13
Dudu,Gadota,"Gadota, Dudu, Rajasthan, India",26.6832448,75.2335695,346,Gneiss,8.2,9.3
Bassi,Gangarampur,"Gangarampur, Bassi, Rajasthan, India",26.8419275,76.0521171,346,Older Alluvium,52.9,57.55
Sanganer,BilwaPz,"BilwaPz, Sanganer, Rajasthan, India",26.8191641,75.7659513,347,Older Alluvium,18.7,13.3
Bassi,Garh,"Garh, Bassi, Rajasthan, India",26.8419275,76.0521171,347,Quartzite Schist,38.3,38.6
Kotputli,Paniyala,"Paniyala, Kotputli, Rajasthan, India",27.798536,76.2421185,347,Quartzite Schist,47.36,47.5
Jamwaramgarh,Dhamsya,"Dhamsya, Jamwaramgarh, Rajasthan, India",26.8905133,76.1660561,347.67,Quartzite Schist,47.9,52.9
Bassi,Maharajpura,"Maharajpura, Bassi, Rajasthan, India",26.8419275,76.0521171,348,Older Alluvium,59.55,54.2
Dudu,Nayagaon,"Nayagaon, Dudu, Rajasthan, India",26.6793016,75.1019942,349,Gneiss,0.8,5.9
Chaksu,Shawliya,"Shawliya, Chaksu, Rajasthan, India",26.6034639,75.9435991,349.5,Quartzite Schist,11.5,14.3
Jamwaramgarh,Kharana,"Kharana, Jamwaramgarh, Rajasthan, India",26.9959045,76.1207379,350.8,Quartzite,58,37.7
"Jamwa
Ramgarh",Kharana,"Kharana, Jamwa

Ramgarh, Rajasthan, India",26.9959045,76.1207379,351,Quartzite,38.5,46.2
Sanganer,Bilwa,"Bilwa, Sanganer, Rajasthan, India",26.7589842,75.8452249,351.03,Older Alluvium,13.9,13.9
Dudu,Kachnaria,"Kachnaria, Dudu, Rajasthan, India",26.5175945,75.1891929,351.69,Gneiss,3.3,2.7
Sanganer,Barkabalaji,"Barkabalaji, Sanganer, Rajasthan, India",26.8191641,75.7659513,352,Older Alluvium,66.9,72.6
Sanganer,Chirota,"Chirota, Sanganer, Rajasthan, India",26.7954759,75.5771573,352,Older Alluvium,29,29.8
